股票代码,股票名称,分类标签
SZ001317,三羊马,自选股
SZ001318,阳光乳业,自选股
SZ001330,博纳影业,自选股
SZ001335,信凯科技,自选股
SZ001338,永顺泰,自选股
SZ001382,新亚电缆,自选股
SZ001872,招商港口,自选股
SZ001896,豫能控股,自选股
SZ001979,招商蛇口,自选股
SZ002001,新 和 成,自选股
SZ002010,传化智联,自选股
SZ002011,盾安环境,自选股
SZ002015,协鑫能科,自选股
SZ002025,航天电器,自选股
SZ002031,巨轮智能,自选股
SZ002032,苏 泊 尔,自选股
SZ002033,丽江股份,自选股
SZ002036,联创电子,自选股
SZ002040,南 京 港,自选股
SZ002041,登海种业,自选股
SZ002057,中钢天源,自选股
SZ002059,云南旅游,自选股
SZ002067,景兴纸业,自选股
SZ002074,国轩高科,自选股
SZ002077,大港股份,自选股
SZ002080,中材科技,自选股
SZ002086,东方海洋,自选股
SZ002091,江苏国泰,自选股
SZ002112,三变科技,自选股
SZ002126,银轮股份,自选股
SZ002127,南极电商,自选股
SZ002128,电投能源,自选股
SZ002129,TCL中环,自选股
SZ002131,利欧股份,自选股
SZ002132,恒星科技,自选股
SZ002136,安 纳 达,自选股
SZ002140,东华科技,自选股
SZ002145,钛能化学,自选股
SZ002149,西部材料,自选股
SZ002150,正泰电源,自选股
SZ002156,通富微电,自选股
SZ002157,正邦科技,自选股
SZ002165,红 宝 丽,自选股
SZ002166,莱茵生物,自选股
SZ002167,东方锆业,自选股
SZ002171,楚江新材,自选股
SZ002176,江特电机,自选股
SZ002177,御银股份,自选股
SZ002189,中光学,自选股
SZ002201,九鼎新材,自选股
SZ002202,金风科技,自选股
SZ002208,合肥城建,自选股
SZ002213,大为股份,自选股
SZ002215,诺 普 信,自选股
SZ002217,合力泰,自选股
SZ002218,拓日新能,自选股
SZ002227,奥 特 迅,自选股
SZ002229,鸿博股份,自选股
SZ002232,启明信息,自选股
SZ002241,歌尔股份,自选股
SZ002243,力合科创,自选股
SZ002246,北化股份,自选股
SZ002251,步步高,自选股
SZ002258,利尔化学,自选股
SZ002261,拓维信息,自选股
SZ002264,新 华 都,自选股
SZ002266,浙富控股,自选股
SZ002274,华昌化工,自选股
SZ002292,奥飞娱乐,自选股
SZ002299,圣农发展,自选股
SZ002312,川发龙蟒,自选股
SZ002318,久立特材,自选股
SZ002330,得利斯,自选股
SZ002333,罗普斯金,自选股
SZ002337,赛象科技,自选股
SZ002338,奥普光电,自选股
SZ002340,格林美,自选股
SZ002343,慈文传媒,自选股
SZ002352,顺丰控股,自选股
