代码,    名称,现价,涨幅,涨跌,4分钟涨速,主力净量,总手,换手,量比,自选时间,自选价格,自选收益,现手,开盘,昨收,最高,最低,市盈(动),市净率,委比%,振幅,总市值,实体涨幅
SH605177,东亚药业,22.95,5.86%,1.27,0.04%,0,3177581,2.82%,1.42,20260122,22.95,0.00%,16500--,21.53,21.68,23.07,21.53,,1.55,0.34,7.10%,2632964400,6.60%
SZ000048,京基智农,18.36,3.79%,0.67,0.00%,0.19,9443100,1.79%,0.83,20260121,18.5,-0.76%,116800--,17.63,17.69,18.39,17.44,24.51,2.3,-29.95,5.37%,9735982100,4.14%
SZ300215,电科院,10.68,-0.37%,-0.04,0.00%,-1.18,71880206,14.38%,1.03,20250627,5.74,86.06%,718600--,10.53,10.72,10.96,10.28,,4.08,-27.89,6.34%,8000325900,1.42%
SZ002554,惠博普,4.5,-1.75%,-0.08,-0.22%,-0.22,108379275,8.13%,0.55,20260121,4.04,11.39%,1157937--,4.53,4.58,4.58,4.43,427.6,2.53,33.12,3.28%,6001740300,-0.66%
SH600895,张江高科,38.56,0.23%,0.09,0.00%,-0.03,15786985,1.02%,0.51,20260121,44.91,-14.14%,213100--,38.25,38.47,38.82,38.19,72.64,4.48,1.86,1.64%,59717469000,0.81%
SZ000021,深科技,32.38,2.50%,0.79,0.00%,0.74,119711011,7.62%,1.06,20251223,24.39,32.76%,1729900--,31.19,31.59,33.07,31.19,50.5,4,-8.75,5.95%,50887538000,3.82%
SH603052,可川科技,58.7,-0.76%,-0.45,0.26%,-0.05,7111131,3.78%,1.01,20260107,40.41,45.26%,115100--,58.34,59.15,59.89,55.8,332.1,10.14,82.43,6.91%,11029570500,0.62%
SH600759,洲际油气,8.24,-5.29%,-0.46,0.00%,-0.88,976928560,23.58%,1.72,20251103,2.61,215.71%,13573020--,7.88,8.7,8.55,7.88,308.6,3.89,44.39,7.70%,34187836000,4.57%
SZ000636,风华高科,23.75,0.00%,0,0.04%,-0.05,70297160,6.08%,0.49,20260121,20.6,15.29%,1102200--,23.75,23.75,24.1,22.83,90.2,2.2,51.25,5.35%,27479064000,0.00%
SZ003035,南网能源,8.71,-2.79%,-0.25,0.00%,-0.17,179266650,4.73%,0.75,20260120,5.63,54.71%,2092800--,8.8,8.96,8.98,8.4,72.28,4.73,38.32,6.47%,32992424000,-1.02%
SZ002165,红 宝 丽,12.21,10.00%,1.11,0.00%,4.58,83747604,11.51%,0.72,20260120,8.72,40.02%,281800--,11.03,11.1,12.21,10.96,179.7,4.39,100,11.26%,8977644700,10.70%
SH603393,新天然气,37.88,-2.87%,-1.12,-0.03%,-0.67,27615143,6.53%,0.6,20260120,28.41,33.33%,355800--,37.85,39,38.82,37.16,14.77,1.79,-2.51,4.26%,16058140000,0.08%
SZ000560,我爱我家,3.29,2.81%,0.09,0.31%,0.45,133687258,5.93%,0.91,20260120,3.22,2.17%,2093400--,3.19,3.2,3.3,3.16,137.3,0.823,-10.83,4.38%,7749597800,3.13%
SH601216,君正集团,6.33,3.94%,0.24,0.64%,0.27,224631690,2.66%,1.43,20260120,5.93,6.75%,1791300--,6.1,6.09,6.39,6.01,14.32,1.85,-76.58,6.24%,53412650000,3.77%
SH688327,云从科技-UW,14.76,1.44%,0.21,-0.20%,0.02,18433806,2.21%,0.39,20260119,16.52,-10.65%,214623--,14.47,14.55,14.83,14.45,,20.5,-53.17,2.61%,15328976000,2.00%
SH688076,ST诺泰,33.72,3.79%,1.23,-0.12%,0,5344733,1.69%,1.1,20260116,38.55,-12.53%,33100--,32.48,32.49,34.3,32.48,32.59,3.58,24.6,5.60%,10657270000,3.82%
SZ000610,西安旅游,9.51,3.59%,0.33,0.00%,-0.16,9904400,4.21%,1.09,20260115,13.33,-28.66%,88400--,9.22,9.18,9.52,9.18,,14.4,-1.18,3.70%,2251472500,3.15%
SZ300285,国瓷材料,35.51,0.00%,0,0.00%,0.07,32178390,3.82%,0.5,20260114,33.14,7.15%,1200--,34.81,35.51,36.28,34.44,54.25,5.05,-10.11,5.18%,35405185000,2.01%
SH600845,宝信软件,23.1,2.12%,0.48,-0.09%,0.08,17878287,0.84%,0.71,20260114,23.8,-2.94%,257660--,22.57,22.62,23.2,22.48,45.31,6.03,-64.21,3.18%,66314990000,2.35%
SZ300138,晨光生物,14.1,2.99%,0.41,0.00%,0.05,11260658,2.83%,0.95,20260113,13.04,8.13%,77700--,13.65,13.69,14.26,13.56,18.73,2.01,24.63,5.11%,6811711300,3.30%
SZ300617,安靠智电,71.97,10.55%,6.87,-0.26%,0.79,28686879,20.65%,1.47,20260113,38.75,85.73%,100--,67.14,65.1,74.88,64.8,121.2,4.09,-85.53,15.48%,11925980600,7.19%
SZ300817,双飞集团,19.97,2.41%,0.47,0.15%,-0.1,2416050,1.93%,0.75,20260113,22.68,-11.95%,84000--,19.48,19.5,20.03,19.26,71.04,4.28,-31.75,3.95%,4359415900,2.52%
920021,流金科技,10.81,0.93%,0.1,0.00%,-0.5,18656406,7.54%,0.5,--,--,--,342077--,10.72,10.71,10.97,10.57,,5.2,-43.75,3.73%,3340289800,0.84%
SZ300866,安克创新,96.51,1.80%,1.71,0.00%,-0.05,3193542,1.04%,0.62,20260109,106.2,-9.12%,57000--,94.5,94.8,97.97,94.09,20.08,5.23,-81.31,4.09%,51744693000,2.13%
SH688513,苑东生物,57.95,4.68%,2.59,0.07%,0.06,2525255,1.43%,1.22,20260109,64.58,-10.27%,7774--,54.85,55.36,59.15,54.5,36.12,3.49,-88.44,8.40%,10230044200,5.65%
SH603882,金域医学,28.55,1.24%,0.35,0.07%,-0.02,4922114,1.07%,0.7,20260109,33.66,-15.18%,27400--,28.07,28.2,28.8,28.03,,1.94,16.03,2.73%,13226023800,1.71%
SH600587,新华医疗,15.23,2.42%,0.36,-0.13%,0.05,9824308,1.62%,1.14,20260108,16.22,-6.10%,100100--,14.83,14.87,15.3,14.8,15.95,1.17,-54.01,3.36%,9239196500,2.70%
920263,中航泰达,12.86,0.78%,0.1,0.00%,0.08,821477,0.80%,0.23,20251013,15.89,-19.07%,28873--,12.87,12.76,12.94,12.76,69.86,3.13,-3.71,1.41%,1816383600,-0.08%
SH688727,恒坤新材,51.24,-0.04%,-0.02,-0.25%,-0.17,2017866,4.02%,0.48,20251119,60.05,-14.67%,37521--,51.06,51.26,51.83,51.06,224.3,9.18,-30.79,1.50%,23023136000,0.35%
SH600366,宁波韵升,13.52,-0.73%,-0.1,-0.07%,-0.06,28776650,2.62%,0.62,20260107,14.45,-6.44%,365100--,13.56,13.62,13.73,13.43,40.39,2.43,80.22,2.20%,14859035000,-0.29%
SZ002333,罗普斯金,5.97,3.11%,0.18,0.17%,0,8903500,1.34%,0.83,20260107,5.96,0.17%,73100--,5.77,5.79,5.98,5.74,68.69,2.11,-40.1,4.15%,4029301100,3.47%
SZ000970,中科三环,13.84,-0.86%,-0.12,0.07%,0.06,32371752,2.66%,0.78,20260107,14.04,-1.42%,520900--,13.85,13.96,14.05,13.68,139.7,2.58,42.01,2.65%,16825645000,-0.07%
SH603690,至纯科技,27.02,0.52%,0.14,0.00%,-0.02,7140616,1.86%,0.57,20260107,33.41,-19.13%,92900--,26.7,26.88,27.12,26.65,91.63,2.06,56.88,1.75%,10347694000,1.20%
SZ002112,三变科技,25.12,3.33%,0.81,0.00%,-0.14,90498688,34.53%,1.38,20251104,14.55,72.65%,1016900--,23.96,24.31,26,23.86,138,8.48,-12.2,8.80%,7388577800,4.84%
920489,佳先股份,16.77,0.78%,0.13,0.00%,0.02,2007678,2.31%,0.96,20260107,21.01,-20.18%,38375--,16.57,16.64,16.83,16.45,404.3,4.76,32.4,2.28%,2288420800,1.21%
SH600501,航天晨光,25.96,0.00%,0,-0.04%,-0.1,7212091,1.69%,0.5,20260107,31.57,-17.77%,66300--,25.8,25.96,26.26,25.71,,6.44,15.67,2.12%,11106316200,0.62%
SH603325,博隆技术,77.55,1.62%,1.24,-0.03%,0.05,571977,1.67%,0.69,20260106,80.33,-3.46%,15200--,76.31,76.31,78.06,76.09,14.45,2.3,23.2,2.58%,6204310200,1.62%
